:START_ID,:END_ID,:TYPE,subject_entity,object_entity,source_type
goldman sachs gs.n,marvell,upgrade,ORG,ORG,News
apple,vendors,instruct,ORG,PRODUCT,News
abada,bitfly,recommend,PERSON,PERSON,News
south africa,sales,run,GPE,PRODUCT,News
apple,iphone,slash,ORG,ORG,News
william huffhine,success,find,PERSON,ORG,News
rivian,r.j. scaringe,add,NORP,PERSON,News
shortages,consumers,harm,ORG,GPE,News
the commerce department,warren,use,ORG,PERSON,News
americans,biden,blame,NORP,PERSON,News
china,taiwan,invade,GPE,GPE,News
chips,stateside,build,ORG,PRODUCT,News
lucid motors,tesla,surpass,ORG,PRODUCT,News
tesla,revenue,generate,PRODUCT,PRODUCT,News
clients,analyst daniel ives,raise,ORG,ORG,News
2022,china,represent,PRODUCT,GPE,News
clients,analyst daniel ives,write,ORG,ORG,News
tesla,model s,tell,PRODUCT,ORG,News
homeowners,money,spend,ORG,ORG,News
kate vale,aliavia ventures,launch,PERSON,ORG,News
elon musks,twitter,troll,PERSON,GPE,News
spotify,whooshkaa,acquire,PERSON,ORG,News
rapidpay,quickapay,acquire,ORG,ORG,News
houzz,conx,acquire,PERSON,ORG,News
hertz,customers,induce,GPE,ORG,News
alexoracle,cerner,buy,ORG,PRODUCT,News
companies,risks,detect,ORG,PRODUCT,News
tesla tsla,sales,ramp,PERSON,PRODUCT,News
apple,apple glasses,anticipate,ORG,ORG,News
hearsch,cnbc,tell,PERSON,ORG,News
troy ford,hertz,prefer,ORG,GPE,News
intelligencer,heller,tell,GPE,PERSON,News
zipcar,heller,pay,GPE,PERSON,News
cisco systems,socio labs,boost,ORG,PERSON,News
cisco systems,hybridization,tout,ORG,GPE,News
cisco systems,share,gain,ORG,ORG,News
cisco systems,broadsoft,buy,ORG,ORG,News
cisco systems,duo security,acquire,ORG,ORG,News
duo security,cisco systems,bolster,ORG,ORG,News
cisco systems,share,lose,ORG,ORG,News
arista,share,gain,ORG,ORG,News
arista,cisco systems,beat,ORG,ORG,News
cisco systems,business,gain,ORG,GPE,News
time,the fed,aim,ORG,ORG,News
job openings,wages,exceed,ORG,PERSON,News
companies,santas,provide,ORG,ORG,News
thanksgiving,allen,sell,EVENT,PERSON,News
need,shoppers,incentivize,PERSON,PERSON,News
victorias secret,money,leave,PERSON,ORG,News
bloomberg news,plants,report,ORG,ORG,News
dollar tree,products,sell,ORG,ORG,News
companies,sales,lose,ORG,PRODUCT,News
analyst dan ives,cnn business,tell,PERSON,ORG,News
facebook,facebook meta,rename,PERSON,PERSON,News
